query,host,warc_date,url,url_path_digits,links,self_links,nofollow_links,anchor_chars_mean,anchor_words_mean,affiliate_links,affiliate_anchor_chars_mean,affiliate_anchor_words_mean,affiliate_product_links,affiliate_nofollow_links,affiliate_links_shortened,affiliate_links_amazon,anchor_chars_ratio,anchor_words_ratio,self_link_ratio,title_chars,is_review,num_h1,num_h2,num_img,num_chars,num_words,ttr,fwr,meta_num_chars,meta_num_words,meta_ttr,meta_fwr,h1_num_chars,h1_num_words,h1_ttr,h1_fwr,img_num_chars,img_num_words,img_ttr,img_fwr,a_num_chars,a_num_words,a_ttr,a_fwr,num_meta_keywords,heading_keyword_overlap,meta_keyword_overlap
best baby or infant feeding,parentingscience.com,2022-08-26T07:45:08Z,https://parentingscience.com/infant-feeding-schedule/,0,191,153,11,19.91623037,3.052356021,0,0,0,0,0,0,0,0.000675401,0.000618387,0.80104712,70,TRUE,1,5,3,29488,4936,0.336709887,0.309562399,143,24,0.958333333,0.416666667,72,12,0.916666667,0.166666667,47,6.666666667,0.925925926,0.074074074,19.91623037,3.094240838,0.915482423,0.122365011,0,0.074818653,0.043937824
best baby or infant feeding,www.bmel.de,2022-08-26T07:45:38Z,https://www.bmel.de/EN/topics/food-and-nutrition/healthy-diet/breastfeeding.html,0,244,217,0,19.59836066,2.389344262,0,0,0,0,0,0,0,0.003142778,0.002478573,0.889344262,83,FALSE,3,19,37,6236,964,0.429460581,0.408713693,298,42,0.880952381,0.357142857,40,6,1,0.333333333,24.7027027,4.135135135,0.803326403,0.058261558,19.59836066,2.426229508,0.920081967,0.07501226,4,0.247629083,0.091675448
best baby or infant feeding,fedisbest.org,2022-08-26T07:46:04Z,https://fedisbest.org/,0,84,51,0,27.10714286,4.261904762,0,0,0,0,0,0,0,0.371330724,0.35515873,0.607142857,53,FALSE,4,5,30,73,12,0.833333333,0,170,26,0.730769231,0.269230769,11,3,1,0,3.833333333,0.566666667,0.057142857,0.01,27.10714286,4.392857143,0.84173983,0.121542939,0,1,0
best baby or infant feeding,www.cdc.gov,2022-08-26T07:46:48Z,https://www.cdc.gov/nutrition/infantandtoddlernutrition/breastfeeding/recommendations-benefits.html,0,276,195,0,20.39492754,2.967391304,0,0,0,0,0,0,0,0.014036426,0.013014874,0.706521739,46,FALSE,1,3,3,1453,228,0.605263158,0.403508772,186,28,0.857142857,0.464285714,28,3,1,0.333333333,56,10.66666667,0.911111111,0.266666667,20.39492754,3.036231884,0.992497921,0.063303705,59,0.092920354,0.181415929
best baby or infant feeding,www.mottchildren.org,2022-08-26T07:47:14Z,https://www.mottchildren.org/posts/your-child/feeding-your-baby-toddler,0,166,78,0,16.84939759,2.475903614,0,0,0,0,0,0,0,0.00093535,0.000763461,0.469879518,98,FALSE,1,30,7,18014,3243,0.302806044,0.423681776,212,43,0.88372093,0.511627907,48,9,1,0.222222222,28.71428571,5.142857143,0.836734694,0.087198516,16.84939759,2.493975904,0.896566659,0.043710365,0,0.1869944,0.062538892
best baby or infant feeding,raisingchildren.net.au,2022-08-26T07:47:49Z,https://raisingchildren.net.au/newborns/breastfeeding-bottle-feeding/bottle-feeding/infant-formula,0,43,34,0,11.37209302,1.604651163,0,0,0,0,0,0,0,0,0,0.790697674,67,FALSE,0,8,7,0,0,0,0,155,26,0.961538462,0.307692308,0,0,0,0,30.28571429,4.285714286,1,0.035714286,11.37209302,1.744186047,0.88372093,0.068881506,14,0,0
best baby or infant feeding,caringforkids.cps.ca,2022-08-26T07:48:30Z,https://caringforkids.cps.ca/handouts/pregnancy-and-babies/feeding_your_baby_in_the_first_year,0,85,55,0,20.65882353,2.611764706,0,0,0,0,0,0,0,0,0,0.647058824,53,FALSE,1,11,8,0,0,0,0,166,27,0.962962963,0.407407407,35,7,1,0.571428571,17.625,2.25,0.875,0.041666667,20.65882353,2.623529412,0.788235294,0.093208556,0,0,0
best baby or infant feeding,www.babycenter.com,2022-08-26T07:49:10Z,https://www.babycenter.com/baby-products/nursing-and-feeding/best-baby-formula_40007406,8,290,162,56,19.54827586,2.979310345,2,33,4,0,2,0,2,0.004464096,0.004214017,0.55862069,41,TRUE,1,20,102,4379,707,0.397454031,0.202263083,121,20,0.95,0.3,18,3,1,0,17,2.833333333,0.434932306,0.060021786,19.54827586,3.131034483,0.867189803,0.126255465,0,0.06626506,0.128012048
best baby or infant feeding,www.babylist.com,2022-08-26T07:49:56Z,https://www.babylist.com/hello-baby/best-baby-formula,0,138,48,48,13.47101449,2.384057971,13,13.76923077,2.384615385,13,8,0,13,0.000896693,0.000919775,0.347826087,29,TRUE,1,7,10,15023,2592,0.314814815,0.387345679,0,0,0,0,26,5,1,0.2,8.3,1.4,0.5,0.04,13.47101449,2.427536232,0.827396176,0.051090509,0,0.037661828,0
best baby or infant feeding,www.verywellfamily.com,2022-08-26T07:50:58Z,https://www.verywellfamily.com/best-baby-formulas-4165193,7,255,180,38,24.48627451,3.635294118,14,33.57142857,5.357142857,14,14,0,14,0.000748518,0.000668007,0.705882353,58,FALSE,1,16,64,32713,5442,0.271958839,0.352443954,119,20,0.9,0.4,60,9,1,0.222222222,37.15625,6.125,1,0.110362814,24.48627451,3.694117647,0.98146764,0.06584595,0,0.247702981,0.06000375
best baby or infant feeding,www.webmd.com,2022-08-26T07:51:39Z,https://www.webmd.com/baby/breastfeeding-vs-formula-feeding,0,288,232,0,19.09027778,2.694444444,0,0,0,0,0,0,0,0.003717678,0.003100627,0.805555556,34,TRUE,1,4,18,5135,869,0.483314154,0.379746835,44,9,1,0.555555556,35,4,1,0,17.77777778,2.888888889,0.944444444,0.147354497,19.09027778,2.743055556,0.923032407,0.04156746,10,0.079401611,0.080552359
best baby or infant feeding,www.healthline.com,2022-08-26T07:52:11Z,https://www.healthline.com/health/baby/best-baby-formula,0,296,177,34,22.90540541,3.929054054,24,31.08333333,5,24,24,0,24,0.000736248,0.000753125,0.597972973,29,TRUE,1,9,6,31111,5217,0.23346751,0.391412689,176,36,0.833333333,0.527777778,33,7,1,0.142857143,7.5,1.333333333,0.166666667,0.0625,22.90540541,3.969594595,0.932226336,0.085951421,3,0.054415182,0.071068939
best baby or infant feeding,www.unicef.org,2022-08-26T07:53:55Z,https://www.unicef.org/parenting/food-nutrition/feeding-your-baby-when-to-start-solid-foods,0,39,32,0,73.61538462,3.897435897,0,0,0,0,0,0,0,0.518418202,0.149901381,0.820512821,68,FALSE,1,7,11,142,26,0.730769231,0.423076923,77,15,0.933333333,0.533333333,59,9,1,0.333333333,11.81818182,2.090909091,0.636363636,0.068181818,73.61538462,3.948717949,0.920925229,0.139402905,0,0.576923077,0.423076923
best baby or infant feeding,www.mayoclinic.org,2022-08-26T07:54:28Z,https://www.mayoclinic.org/healthy-lifestyle/infant-and-toddler-health/in-depth/healthy-baby/art-20047741,8,176,113,0,20.96022727,3.102272727,0,0,0,0,0,0,0,0.005157536,0.004302736,0.642045455,56,FALSE,1,10,5,4064,721,0.47295423,0.41331484,0,0,0,0,25,4,1,0.25,38.4,7.6,0.768421053,0.093117409,20.96022727,3.142045455,0.962465565,0.063642513,0,0.197202797,0
